rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
769	2419.807232	1976.157567
770	2419.162798	1975.834664
771	2417.518355	1974.112914
772	2414.589713	1971.992257
773	2409.991992	1969.085285
774	2406.977161	1969.082745
775	2406.915837	1968.997055
776	2404.886433	1968.453116
777	2403.599668	1968.335685
778	2402.232822	1968.048466
779	2400.904534	1967.169965
780	2400.871967	1966.508967
781	2400.224621	1966.119874
782	2399.162695	1965.778599
783	2399.124215	1963.957596
784	2397.042114	1963.71941
785	2396.885296	1962.34344
786	2396.412825	1959.41776
787	2393.270606	1959.264416
788	2389.472156	1959.051644
789	2388.726473	1957.955251
790	2388.21457	1957.637268
791	2386.623151	1955.233659
792	2384.843793	1953.455444
793	2384.492779	1953.446146
794	2382.143016	1951.204027
795	2381.851012	1950.33312
796	2381.689208	1949.379756
797	2380.28961	1948.667536
798	2380.18558	1948.472627
799	2379.761702	1948.161723
800	2378.955419	1947.900868
801	2378.11774	1947.853356
802	2377.948683	1947.832626
803	2375.241095	1947.747464
804	2375.191808	1947.091342
805	2375.100448	1946.072215
806	2374.944517	1945.926601
807	2373.347751	1945.646979
808	2371.526776	1945.319149
809	2369.766216	1945.134737
810	2369.499201	1944.989211
811	2369.082434	1944.031009
812	2368.801014	1943.858637
813	2367.671903	1943.671099
814	2366.718899	1943.632853
815	2364.769291	1941.873085
816	2364.265778	1941.619834
817	2361.656979	1940.799595
818	2361.224578	1940.274337
819	2360.91912	1939.709215
820	2360.449047	1938.782282
821	2358.33304	1938.307429
822	2356.963444	1938.114602
823	2354.642186	1937.427868
824	2354.232969	1936.774966
825	2354.202373	1936.597158
826	2351.421506	1936.269559
827	2350.741915	1933.136376
828	2350.277347	1933.08559
829	2350.099791	1932.053008
830	2349.714272	1930.711764
831	2349.363789	1930.234556
832	2347.106159	1929.838518
833	2345.618385	1928.71281
834	2345.339391	1926.641109
835	2343.592386	1924.801644
836	2343.353246	1924.336286
837	2342.892201	1924.099442
838	2342.724583	1922.985711
839	2339.017321	1922.701246
840	2338.573273	1922.235865
841	2337.208118	1921.271933
842	2337.197374	1920.867714
843	2335.539702	1920.294045
844	2335.045554	1916.181809
845	2334.71295	1914.664795
846	2334.369334	1913.973546
847	2331.296066	1913.536473
848	2331.056235	1913.241822
849	2330.100456	1912.702985
850	2329.862243	1909.670021
851	2328.328137	1908.46957
852	2321.838351	1907.500084
853	2319.477307	1907.131979
854	2319.375821	1906.92888
855	2317.815584	1906.353942
856	2316.514907	1906.069143
857	2316.481333	1905.584263
858	2315.428447	1904.888647
859	2315.167142	1904.748203
860	2313.422055	1904.110022
861	2311.541457	1903.496369
862	2311.384154	1903.201603
863	2311.008407	1902.752078
864	2309.900891	1902.578028
865	2306.539168	1902.429222
866	2306.288106	1902.128955
867	2305.156709	1901.863814
868	2302.441111	1901.407849
869	2301.530319	1897.763794
870	2301.503016	1897.675592
871	2300.80179	1897.586701
872	2300.494503	1896.881967
873	2299.362775	1895.757913
874	2299.160035	1894.484825
875	2297.700995	1894.037773
876	2296.484965	1893.791625
877	2295.036966	1893.258556
878	2292.420281	1890.21763
879	2291.018778	1890.067687
880	2290.369111	1889.514164
881	2290.345373	1889.336983
882	2289.413449	1889.333477
883	2288.876442	1888.533142
884	2288.650529	1888.469629
885	2288.481506	1887.693405
886	2287.473928	1886.750665
887	2287.132004	1886.650441
888	2286.752392	1884.645289
889	2286.067849	1884.296863
890	2284.259544	1883.689083
891	2283.226848	1883.129719
892	2283.218086	1882.070065
893	2283.057691	1881.265974
894	2282.852328	1880.751797
895	2280.523009	1880.5393
896	2280.514851	1879.900752
897	2278.926147	1879.685951
898	2278.705356	1878.609064
899	2278.333414	1877.630391
900	2278.295844	1874.727891
901	2276.817266	1873.365131
902	2276.532512	1873.30801
903	2275.563199	1872.225819
904	2275.538858	1871.275019
905	2275.226004	1871.203569
906	2274.725986	1870.761762
907	2272.650852	1869.639509
908	2272.084843	1869.44591
909	2271.539622	1868.799019
910	2270.482031	1867.89941
911	2270.386843	1866.910935
912	2266.546196	1866.069985
913	2266.268835	1864.820803
914	2265.310314	1864.561284
915	2263.665884	1863.013109
916	2263.60437	1862.748672
917	2257.453236	1862.682045
918	2257.376705	1861.776826
919	2257.177675	1861.153058
920	2256.00025	1860.103627
921	2254.703339	1859.909381
922	2254.23016	1859.638109
923	2252.287506	1859.462082
924	2249.95463	1859.204171
925	2248.418241	1859.162701
926	2248.249722	1858.631617
927	2247.967743	1858.16283
928	2247.28245	1857.842136
929	2247.238544	1856.77553
930	2246.615314	1856.762715
931	2246.123589	1854.747423
932	2245.927985	1854.525901
933	2245.336489	1853.834326
934	2244.914229	1852.234485
935	2244.702615	1852.231959
936	2242.577578	1851.449229
937	2242.229416	1850.841502
938	2241.603298	1850.816599
